video_id,platform,creator_reach,creator_activity,audience_youthfulness,topic_category,video_duration,headline_length,hashtag_count,emotional_intensity,visual_realism,av_coherence,account_topic_focus,publication_age,engagement
V0291,tiktok,2933,273,0.759,3,27.9,51,5,4.69,4.12,4.01,0.335,29,6
V0292,tiktok,1601,25,0.685,4,60.3,38,2,3.52,2.71,2.73,0.519,81,5
V0293,shorts,16811,67,0.548,3,61.5,36,5,4.69,3.97,5.21,0.735,105,1490
V0294,tiktok,74611,141,0.665,1,120.2,16,5,2.68,5.09,4.54,0.361,96,61
V0295,shorts,7461,106,0.542,4,32.1,50,3,2.75,6.34,4.8,0.289,35,28
V0296,tiktok,6359,228,0.782,2,45.0,17,2,7.0,6.1,5.28,0.205,118,342
V0297,tiktok,474,16,0.672,1,85.0,25,1,3.46,1.08,4.55,0.705,5,10
V0298,tiktok,44186,92,0.659,1,30.4,43,3,3.97,5.55,5.36,0.486,75,316
V0299,tiktok,11284,122,0.632,4,28.5,62,4,5.65,4.25,4.43,0.531,64,117
V0300,shorts,6069,126,0.633,2,18.3,52,5,4.09,2.84,1.85,0.689,79,85
V0301,shorts,104306,160,0.476,3,82.4,67,6,6.01,3.97,5.62,0.205,12,457
V0302,tiktok,589,28,0.763,2,60.7,50,6,7.0,5.95,3.96,0.118,33,23
V0303,tiktok,3991,382,0.614,1,32.3,42,7,4.52,4.5,4.47,0.251,65,40
V0304,tiktok,9984,142,0.543,3,19.5,44,5,7.0,3.69,3.71,0.523,103,154
V0305,tiktok,5814,158,0.668,2,81.5,31,3,3.55,3.25,3.67,0.318,47,6
V0306,tiktok,123,51,0.732,1,95.6,52,2,1.0,4.0,4.1,0.403,3,0
V0307,shorts,18561,108,0.63,3,27.6,78,4,4.62,3.87,2.72,0.151,8,6
V0308,tiktok,9368,341,0.777,3,28.7,68,2,4.94,2.97,3.38,0.183,81,15
V0309,tiktok,61046,89,0.739,1,92.4,67,6,2.37,2.1,2.14,0.147,3,3
V0310,tiktok,389165,109,0.514,1,24.6,60,7,2.25,2.96,2.38,0.172,10,688
V0311,tiktok,7057,124,0.752,4,32.2,56,6,2.88,4.59,4.19,0.418,33,14
V0312,shorts,19773,18,0.425,3,17.6,53,4,1.77,1.28,3.52,0.754,71,163
V0313,tiktok,15608,76,0.658,1,42.5,27,2,4.1,2.93,3.76,0.47,75,147
V0314,shorts,13435,180,0.686,3,91.3,26,2,3.13,7.0,5.04,0.703,98,453
V0315,shorts,7716,55,0.623,2,107.4,30,5,6.52,4.94,5.5,0.621,56,41
V0316,tiktok,19848,86,0.627,3,92.8,72,3,5.65,6.73,7.0,0.111,114,68
V0317,tiktok,75410,87,0.686,4,67.3,37,2,3.77,5.59,3.71,0.703,45,2239
V0318,tiktok,2147,19,0.776,1,96.4,65,8,3.82,5.63,3.7,0.585,40,36
V0319,tiktok,303056,201,0.702,2,31.1,25,6,6.09,5.25,6.39,0.595,53,250123
V0320,tiktok,24621,23,0.697,3,97.0,45,4,5.22,3.54,3.28,0.768,90,2501
V0321,shorts,17075,137,0.454,4,21.2,29,5,2.01,4.57,5.2,0.345,89,21
V0322,shorts,173,79,0.587,3,45.8,66,3,4.37,6.26,4.67,0.478,9,44
V0323,tiktok,9710,64,0.767,3,64.1,95,3,4.72,4.63,4.78,0.295,81,37
V0324,shorts,1709,96,0.48,4,66.2,23,7,4.4,3.88,4.64,0.353,101,19
V0325,tiktok,27830,191,0.552,1,31.1,58,6,5.43,4.18,2.95,0.335,89,211
V0326,shorts,55272,203,0.688,3,55.3,33,2,3.47,6.2,6.42,0.5,113,8477
V0327,tiktok,78416,59,0.658,3,101.0,67,5,1.62,2.55,2.61,0.137,90,34
V0328,tiktok,7335,76,0.748,2,67.7,88,4,5.58,6.75,5.61,0.279,106,408
V0329,shorts,8654,38,0.476,3,96.7,39,7,2.65,3.92,3.66,0.629,15,71
V0330,shorts,21738,21,0.485,2,16.9,74,5,3.46,4.01,4.5,0.496,82,52
V0331,tiktok,227,233,0.791,1,12.6,49,4,4.47,3.63,4.39,0.58,8,37
V0332,shorts,4533,30,0.519,2,19.7,35,6,2.14,4.48,3.58,0.431,64,7
V0333,tiktok,3726,43,0.776,1,27.5,43,4,3.87,4.39,5.4,0.726,95,215
V0334,shorts,25272,132,0.608,3,68.7,77,3,2.58,4.81,4.3,0.724,37,52
V0335,shorts,4345,23,0.504,4,62.1,61,2,3.11,3.72,4.3,0.727,50,104
V0336,tiktok,37760,145,0.738,1,8.0,50,10,2.63,2.77,4.03,0.392,34,24
V0337,shorts,6995,39,0.607,4,61.1,48,4,2.37,3.39,3.44,0.238,53,7
V0338,tiktok,46143,29,0.814,1,68.4,38,8,5.2,2.93,3.51,0.673,30,349
V0339,shorts,536598,50,0.524,1,50.3,66,2,4.97,2.35,3.99,0.137,96,1237
V0340,shorts,163477,38,0.546,2,44.1,100,2,4.19,4.84,3.29,0.649,35,747
V0341,shorts,54437,114,0.47,2,18.7,48,8,3.21,4.85,4.33,0.101,71,135
V0342,shorts,77692,372,0.608,4,57.2,28,6,2.31,1.85,4.85,0.074,58,49
V0343,tiktok,5122,177,0.723,3,28.1,60,5,1.0,2.7,2.85,0.457,5,5
V0344,shorts,2472,143,0.439,1,91.8,64,7,3.19,5.61,6.47,0.504,91,37
V0345,shorts,2159,49,0.518,1,37.5,76,4,3.53,4.98,5.78,0.228,13,27
V0346,tiktok,14078,71,0.706,3,54.0,25,4,4.43,5.91,6.24,0.127,88,33
V0347,tiktok,140382,99,0.669,2,45.9,58,2,5.31,3.06,4.5,0.663,102,4701
V0348,tiktok,2663,83,0.658,3,38.9,33,1,3.92,1.14,2.45,0.285,96,17
V0349,tiktok,23008,102,0.585,1,63.7,83,3,4.1,1.96,3.27,0.714,10,78
V0350,shorts,1048,27,0.554,3,87.4,69,1,3.11,4.67,5.92,0.759,82,63
V0351,tiktok,1108,513,0.682,2,18.6,47,7,3.77,2.49,1.93,0.877,115,147
V0352,shorts,46338,23,0.619,1,60.4,24,2,4.73,6.18,6.6,0.107,91,707
V0353,tiktok,2875,75,0.708,2,104.9,95,7,2.68,4.25,4.01,0.577,30,21
V0354,tiktok,2730,198,0.783,3,34.3,48,7,3.91,4.81,6.15,0.399,72,70
V0355,tiktok,346561,41,0.621,3,36.6,72,4,4.08,5.07,6.25,0.736,25,17427
V0356,shorts,11205,246,0.576,2,47.1,9,5,2.67,5.68,5.77,0.544,36,18
V0357,tiktok,9136,21,0.774,2,30.6,55,2,2.43,4.42,5.3,0.834,6,108
V0358,tiktok,6547,41,0.775,2,36.0,69,7,5.9,4.77,3.97,0.607,85,789
V0359,tiktok,20902,8,0.694,2,31.2,6,1,5.11,1.77,3.6,0.134,50,9
V0360,tiktok,2768,241,0.646,3,98.1,58,2,3.51,2.75,3.87,0.046,118,24
V0361,shorts,10973,26,0.68,3,78.2,80,6,3.94,4.83,5.38,0.271,58,54
V0362,tiktok,69987,43,0.701,2,47.7,19,0,5.1,4.44,5.81,0.601,103,2455
V0363,shorts,5557,183,0.452,1,52.2,49,5,2.59,3.74,3.95,0.55,93,127
V0364,shorts,137,120,0.53,1,31.9,44,7,3.95,3.23,3.1,0.21,36,2
V0365,shorts,3045,246,0.573,3,81.5,37,2,5.18,5.17,4.72,0.321,51,69
V0366,tiktok,39440,162,0.66,2,27.7,38,7,2.84,4.54,4.66,0.488,77,286
V0367,shorts,74430,207,0.58,3,64.5,31,3,4.31,3.75,3.63,0.341,96,566
V0368,tiktok,19043,52,0.789,1,66.0,34,6,1.27,6.93,6.14,0.14,30,17
V0369,shorts,129230,78,0.544,1,68.5,50,5,4.1,3.86,4.46,0.635,56,3266
V0370,tiktok,1523,177,0.798,4,26.2,53,6,3.82,3.31,3.54,0.47,41,23
V0371,tiktok,98909,180,0.709,3,55.3,22,1,6.66,5.86,6.4,0.75,70,16435
V0372,tiktok,14438,218,0.681,1,16.9,38,6,4.32,3.01,2.75,0.524,68,43
V0373,shorts,33414,39,0.674,4,61.5,54,4,3.35,3.33,4.44,0.438,105,64
V0374,tiktok,57,28,0.768,4,46.4,78,4,4.75,4.73,4.88,0.655,119,57
V0375,shorts,49339,24,0.557,3,16.8,78,6,4.31,6.47,5.14,0.364,36,538
V0376,tiktok,15053,53,0.575,2,68.5,51,2,2.66,3.66,4.43,0.199,113,14
V0377,shorts,307115,76,0.438,1,41.0,54,5,4.02,1.53,1.0,0.863,44,1272
V0378,tiktok,13888,26,0.585,2,58.2,20,7,6.72,5.8,5.43,0.658,4,660
V0379,tiktok,1717,70,0.715,3,41.9,53,9,4.62,4.23,4.7,0.094,53,39
V0380,shorts,2331,159,0.546,1,28.5,9,6,1.91,5.54,4.88,0.497,105,10
V0381,tiktok,20539,227,0.751,3,58.6,43,5,3.68,4.93,4.6,0.183,92,44
V0382,tiktok,17224,47,0.8,4,17.0,22,5,4.56,5.96,4.32,0.813,114,4328
V0383,tiktok,3161,149,0.597,3,58.0,34,5,3.89,4.42,3.23,0.224,23,6
V0384,tiktok,1447,24,0.611,1,22.5,55,6,6.03,1.88,1.87,0.418,97,3
V0385,tiktok,151575,44,0.645,1,58.9,56,7,3.44,4.15,3.96,0.358,71,415
V0386,tiktok,6441,94,0.754,1,27.4,79,4,6.33,6.32,3.84,0.139,34,77
V0387,tiktok,8749,44,0.741,3,59.2,56,6,3.17,6.59,4.82,0.49,81,20
V0388,shorts,3789,39,0.465,1,76.5,40,8,4.04,5.85,5.94,0.25,73,37
